id,code,name,currency,number_box,number_pallet,entity,color,usage,model,export,quality,size,weight,tickness,image
1,110300012049,SOCKET 25  THREA DED /012,number,1400,0,سوکت برقی,سفید,برقی,قدیمی,True,درجه 1,25,0.012,1,IMG_20240110_164515.jpg
2,200104045013,زانو 45 * 40 درجه NEW طوسی,عدد,400,25,,طوسی,فاضلابی,جدید,False,درجه 1,40,0.041,1,
3,200105045017,زانو 90 * 50 درجه طوسی,عدد,200,25,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,50,0.067,1,
4,200105045027,زانو 45 * 50 درجه طوسی,عدد,250,25,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,50,0.056,1,
5,200106345001,زانو 45 * 63 درجه طوسی,عدد,120,25,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,63,0.135,1,
6,200106345213,زانو 45 * 63 درجه NEW طوسی,عدد,175,25,,طوسی,فاضلابی,جدید,False,درجه 1,63,0.1,1,
7,200106390010,زانو 90 * 63 درجه طوسی,عدد,110,25,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,63,0.144,1,
8,200106390216,زانو 90 * 63 درجه NEW طوسی,عدد,70,25,,طوسی,فاضلابی,جدید,False,درجه 1,63,0.125,1,
9,200107545002,زانو 45 * 75 درجه طوسی,عدد,102,25,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,75,0.15,1,
10,200107590011,زانو 90 * 75 درجه طوسی,عدد,40,25,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,75,0.184,1,
11,200109040025,زانو 90 * 40 درجه طوسی,عدد,400,25,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,40,1.0,1,
12,200109045003,زانو 45 * 90 درجه طوسی,عدد,60,25,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,90,0.201,1,
13,200109045214,زانو 45 * 90 درجه NEW طوسی,عدد,60,25,,طوسی,فاضلابی,جدید,False,درجه 1,90,0.173,1,
14,200109090012,زانو  90 * 90 درجه طوسی,عدد,40,25,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,90,0.274,1,
15,200109090229,زانو 90*90 NEW طوسی,عدد,40,25,,طوسی,فاضلابی,جدید,False,درجه 1,90,0.224,1,
16,200111045004,زانو 45 * 110 درجه طوسی,عدد,50,15,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,110,0.35,1,
17,200111045215,زانو 45 * 110 درجه NEW طوسی,عدد,60,15,,طوسی,فاضلابی,جدید,False,درجه 1,110,0.26,1,
18,200111090013,زانو 90 * 110 درجه  طوسی,عدد,40,15,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,110,0.385,1,
19,200111090217,زانو 90 * 110 درجه NEW طوسی,عدد,40,15,,طوسی,فاضلابی,جدید,False,درجه 1,110,0.35,1,
20,200112545005,زانو 45 * 125 درجه طوسی,عدد,44,15,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,125,0.391,1,
21,200112590014,زانو 90 * 125 درجه  طوسی,عدد,32,15,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,125,0.479,1,
22,200116045006,زانو  45 * 160 درجه طوسی,عدد,18,15,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,160,0.715,1,
23,200116090015,زانو 90 * 160 درجه  طوسی,عدد,16,15,زانو,طوسی,فاضلابی,قدیمی,False,درجه 1,160,0.62,1,
24,200304090029,سه راهی 90 * 40 درجه طوسی,عدد,220,25,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,40,0.07,1,
25,200305045052,سه راهی 45 * 50 درجه طوسی,عدد,110,25,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,50,0.15,1,
26,200305090047,سه راهی دو سر کوپل 90 * 50 درجه طوسی,عدد,150,25,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,50,0.093,1,
27,200306345055,سه راهی 45 * 63 درجه طوسی,عدد,50,25,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,63,0.245,1,
28,200306345223,سه راهی 45 * 63 درجه NEW طوسی,عدد,60,25,,طوسی,فاضلابی,جدید,False,درجه 1,63,0.2,1,
29,200306390035,سه راهی 90 * 63 درجه NEW طوسی,عدد,65,25,,طوسی,فاضلابی,جدید,False,درجه 1,63,0.165,1,
30,200306390066,سه راهی 90 * 63 درجه طوسی,عدد,65,25,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,63,0.201,1,
31,200307545056,سه راهی  45 * 75 درجه طوسی,عدد,38,25,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,75,0.268,1,
32,200307590067,سه راهی 90 * 75 درجه طوسی,عدد,42,25,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,75,0.264,1,
33,200309045057,سه راهی 45 * 90 درجه طوسی,عدد,27,15,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,90,0.44,1,
34,200309090068,سه راهی  90 * 90 درجه طوسی,عدد,45,15,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,90,0.35,1,
35,200311045058,سه راهی 45 * 110 درجه طوسی,عدد,20,15,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,110,0.682,1,
36,200311045224,سه راهی 45 * 110 درجه NEW طوسی,عدد,20,15,,طوسی,فاضلابی,جدید,False,درجه 1,110,0.666,1,
37,200311090069,سه راهی 90 * 110 درجه  طوسی,عدد,25,15,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,110,0.44,1,
38,200311090225,سه راهی 90 * 110 درجه NEW طوسی,عدد,25,15,,طوسی,فاضلابی,جدید,False,درجه 1,110,0.48,1,
39,210300075004,Socket 75,number,110,25,سوکت برقی,طوسی,برقی,قدیمی,True,درجه 1,75,0.127,0,
40,200312545059,سه راهی 45 * 125 درجه طوسی,عدد,16,15,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,125,0.84,1,
41,200312590070,سه راهی 90 * 125 درجه  طوسی,عدد,18,15,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,125,0.708,1,
42,200316045060,سه راهی 45 * 160 درجه طوسی,عدد,7,15,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,160,1.178,1,
43,200409045048,سه راهی تبدیل 45 * 63 * 90 طوسی,عدد,55,15,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,90,0.349,1,
44,200409090063,سه راهی تبدیل 90 * 63 * 90 طوسی,عدد,65,15,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,90,0.295,1,
45,200411045049,سه راهی تبدیل 45 * 63 * 110 طوسی,عدد,42,15,سه راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,110,0.463,1,
